answer,guessed,num_guessed,time_to_solve
motif,handy#swift#glove#crump#motif,5,0.28
curio,handy#swift#glove#crump#curio,5,0.29
gloom,handy#swift#glove#crump#gloom,5,0.3
liken,handy#swift#glove#crump#liken,5,0.28
gravy,handy#swift#glove#crump#gravy,5,0.28
extra,handy#swift#glove#crump#retax#extra,6,0.31
shock,handy#swift#glove#crump#shock,5,0.3
valor,handy#swift#glove#crump#valor,5,0.28
blush,handy#swift#glove#crump#blush,5,0.28
whisk,handy#swift#glove#crump#whisk,5,0.3
scald,handy#swift#glove#crump#scald,5,0.27
drift,handy#swift#glove#crump#drift,5,0.3
condo,handy#swift#glove#crump#condo,5,0.27
giddy,handy#swift#glove#crump#giddy,5,0.3
mouth,handy#swift#glove#crump#mouth,5,0.28
smote,handy#swift#glove#crump#smote,5,0.29
dutch,handy#swift#glove#crump#dutch,5,0.28
sheer,handy#swift#glove#crump#sheer,5,0.3
fudge,handy#swift#glove#crump#fudge,5,0.28
horny,handy#swift#glove#crump#horny,5,0.31
wrath,handy#swift#glove#crump#wrath,5,0.28
vodka,handy#swift#glove#crump#vodka,5,0.3
antic,handy#swift#glove#crump#actin#antic,6,0.3
basis,handy#swift#glove#crump#kazis#basis,6,0.3
unite,handy#swift#glove#crump#unite,5,0.29
spoof,handy#swift#glove#crump#spoof,5,0.28
upset,handy#swift#glove#crump#upset,5,0.3
prime,handy#swift#glove#crump#prime,5,0.28
timid,handy#swift#glove#crump#timid,5,0.28
retry,handy#swift#glove#crump#terry#retry,6,0.3
baton,handy#swift#glove#crump#baton,5,0.28
plier,handy#swift#glove#crump#plier,5,0.3
leant,handy#swift#glove#crump#leant,5,0.28
robot,handy#swift#glove#crump#torot#robot,6,0.3
wreak,handy#swift#glove#crump#wreak,5,0.31
grasp,handy#swift#glove#crump#grasp,5,0.28
prowl,handy#swift#glove#crump#prowl,5,0.28
grime,handy#swift#glove#crump#grime,5,0.28
embed,handy#swift#glove#crump#embed,5,0.31
obese,handy#swift#glove#crump#obese,5,0.28
aphid,handy#swift#glove#crump#aphid,5,0.3
stall,handy#swift#glove#crump#stall,5,0.28
agape,handy#swift#glove#crump#peage#agape,6,0.31
blame,handy#swift#glove#crump#blame,5,0.27
larva,handy#swift#glove#crump#larva,5,0.3
basil,handy#swift#glove#crump#lassi#basil,6,0.3
paper,handy#swift#glove#crump#paper,5,0.29
owing,handy#swift#glove#crump#owing,5,0.28
blown,handy#swift#glove#crump#blown,5,0.28
stick,handy#swift#glove#crump#stick,5,0.3
chant,handy#swift#glove#crump#chant,5,0.28
shelf,handy#swift#glove#crump#shelf,5,0.28
cyber,handy#swift#glove#crump#cyber,5,0.29
dusty,handy#swift#glove#crump#dusty,5,0.3
prone,handy#swift#glove#crump#prone,5,0.28
gummy,handy#swift#glove#crump#gummy,5,0.28
crypt,handy#swift#glove#crump#crypt,5,0.3
chore,handy#swift#glove#crump#chore,5,0.29
spoke,handy#swift#glove#crump#spoke,5,0.28
boast,handy#swift#glove#crump#boast,5,0.28
sweep,handy#swift#glove#crump#sweep,5,0.3
depth,handy#swift#glove#crump#depth,5,0.28
